"Homolog > Gene 1 . Primary Identifier","Homolog > Gene 1 > Organism Name","Homolog > Gene 2 . Primary Identifier","Homolog > Gene 2 > Organism Name","Homolog > Relationship","Homolog > Gene 2 > Chromosome Location . End","Homolog > Gene 2 > Chromosome Location . Start","Homolog > Gene 1 > Chromosome Location . End","Homolog > Gene 1 > Chromosome Location . Start","Homolog > Gene 1 > Chromosome > Name","Homolog > Gene 2 > Chromosome > Name","Homolog > Gene 1 > Defline","Homolog > Gene 2 > Defline",
"GRMZM2G015804","Z. mays","Sobic.001G458600","S. bicolor","one-to-many","66301805","66296839","25711992","25704670","1","Chr01","","",
"GRMZM2G015805","Z. mays","Sobic.010G264100","S. bicolor","many-to-one","59822657","59810038","8345266","8344123","3","Chr10","","",
"GRMZM2G015844","Z. mays","Sobic.006G098200","S. bicolor","one-to-one","47676210","47670300","45011492","45007318","2","Chr06","","similar to H0818E04.12 protein",
"GRMZM2G015854","Z. mays","Sobic.005G123400","S. bicolor","one-to-one","44345825","44339590","21690667","21682228","4","Chr05","","similar to Expressed protein",
"GRMZM2G015861","Z. mays","Sobic.001G234200","S. bicolor","one-to-one","23055439","23049813","31847972","31838656","5","Chr01","","similar to Putative uncharacterized protein",
"GRMZM2G015869","Z. mays","Sobic.008G089900","S. bicolor","one-to-one","25572698","25565118","12933154","12927536","10","Chr08","","similar to Lysosomal Cystine Transporter family protein, expressed",
"GRMZM2G015872","Z. mays","Sobic.009G008300","S. bicolor","one-to-one","787337","784904","39821051","39819808","6","Chr09","","",
"GRMZM2G015875","Z. mays","Sobic.004G264300","S. bicolor","one-to-one","60258109","60251411","161108392","161101812","4","Chr04","","Predicted protein",
"GRMZM2G015880","Z. mays","Sobic.001G276200","S. bicolor","one-to-one","46649064","46634716","128055405","128017011","1","Chr01","","similar to Expressed protein",
"GRMZM2G015886","Z. mays","Sobic.008G125700","S. bicolor","one-to-one","47504750","47500226","22274479","22270075","10","Chr08","","similar to F22D16.26 protein",
"GRMZM2G015889","Z. mays","Sobic.006G054700","S. bicolor","one-to-one","39607339","39601974","67380650","67375640","2","Chr06","","similar to Putative uncharacterized protein STK",
"GRMZM2G015892","Z. mays","Sobic.001G056500","S. bicolor","many-to-one","4242006","4240088","288259234","288257077","1","Chr01","","similar to Indole-3-glycerol phosphate lyase",
"GRMZM2G015902","Z. mays","Sobic.001G358500","S. bicolor","one-to-one","57634124","57628508","64608997","64603797","1","Chr01","","similar to Putative uncharacterized protein",
"GRMZM2G015906","Z. mays","Sobic.009G097200","S. bicolor","one-to-one","35017009","35010687","109491322","109484696","8","Chr09","","",
"GRMZM2G015908","Z. mays","Sobic.003G279300","S. bicolor","one-to-one","61524086","61522135","202255643","202254409","3","Chr03","","similar to Acid phosphatase",
"GRMZM2G015912","Z. mays","Sobic.004G308000","S. bicolor","one-to-one","63882668","63881755","178690613","178689907","4","Chr04","","similar to Putative uncharacterized protein",
"GRMZM2G015925","Z. mays","Sobic.007G115800","S. bicolor","one-to-one","48825535","48822463","219953710","219944860","1","Chr07","","similar to Exonuclease-like protein",
"GRMZM2G015933","Z. mays","Sobic.005G126200","S. bicolor","one-to-one","45480402","45478536","223351453","223344741","2","Chr05","","similar to Leucine-rich repeat-containing extracellular glycoprotein precursor",
"GRMZM2G015941","Z. mays","Sobic.004G308100","S. bicolor","one-to-one","63887588","63885877","178697049","178695838","4","Chr04","","similar to Putative PGPS/D12",
"GRMZM2G015955","Z. mays","Sobic.009G073100","S. bicolor","one-to-one","9081766","9079190","132446471","132443893","6","Chr09","","similar to Zinc transporter",
"GRMZM2G015967","Z. mays","Sobic.007G117000","S. bicolor","one-to-one","49530731","49529276","219530998","219526880","1","Chr07","","",
"GRMZM2G015983","Z. mays","Sobic.004G308200","S. bicolor","one-to-one","63900371","63895836","178706249","178702780","4","Chr04","","similar to Putative xyloglucan fucosyltransferase",
"GRMZM2G015989","Z. mays","Sobic.004G002200","S. bicolor","one-to-one","189303","184552","241302905","241297673","4","Chr04","","similar to Putative uncharacterized protein",
"GRMZM2G016066","Z. mays","Sobic.002G119500","S. bicolor","one-to-one","14989452","14988286","170193707","170192624","2","Chr02","","",
"GRMZM2G016068","Z. mays","Sobic.003G310700","S. bicolor","many-to-one","63912366","63909766","193212967","193211109","3","Chr03","","similar to Putative uncharacterized protein",
"GRMZM2G016079","Z. mays","Sobic.007G205400","S. bicolor","one-to-one","62345531","62344859","189808400","189807563","1","Chr07","","weakly similar to Putative uncharacterized protein",
"GRMZM2G016084","Z. mays","Sobic.001G015200","S. bicolor","one-to-one","1346437","1343184","297830266","297827063","1","Chr01","","similar to Putative ribosomal S1 protein",
"GRMZM2G016088","Z. mays","Sobic.007G205500","S. bicolor","one-to-one","62348993","62346993","189806671","189804901","1","Chr07","","similar to Putative uncharacterized protein",
"GRMZM2G016097","Z. mays","Sobic.006G231700","S. bicolor","one-to-one","58388507","58385943","143740302","143733448","10","Chr06","","similar to Putative uncharacterized protein",
"GRMZM2G016106","Z. mays","Sobic.002G365100","S. bicolor","one-to-one","72531707","72527392","210172843","210170832","2","Chr02","","similar to Putative RNA recognition motif (RRM)-containing protein",
"GRMZM2G016153","Z. mays","Sobic.009G141200","S. bicolor","many-to-one","49890822","49887831","103164197","103161573","8","Chr09","","",
"GRMZM2G016168","Z. mays","Sobic.004G030400","S. bicolor","one-to-one","2464363","2459278","74699984","74695924","5","Chr04","","similar to Putative uncharacterized protein",
"GRMZM2G016184","Z. mays","Sobic.001G143200","S. bicolor","one-to-one","11458232","11453938","14354318","14350073","5","Chr01","","similar to Expressed protein",
"GRMZM2G016189","Z. mays","Sobic.007G130800","S. bicolor","one-to-one","53436064","53430173","216107848","216101470","1","Chr07","","similar to Betaine aldehyde dehydrogenase",
"GRMZM2G016210","Z. mays","Sobic.007G162000","S. bicolor","one-to-one","58364455","58357612","201678322","201673513","1","Chr07","","similar to Carboxyl-terminal peptidase-like",
"GRMZM2G016232","Z. mays","Sobic.001G313200","S. bicolor","many-to-many","52862358","52861425","13961037","13959415","3","Chr01","","similar to Histone H4",
"GRMZM2G016232","Z. mays","Sobic.002G210500","S. bicolor","many-to-many","60307313","60306439","13961037","13959415","3","Chr02","","similar to Histone H4",
"GRMZM2G016232","Z. mays","Sobic.002G291100","S. bicolor","many-to-many","66901761","66900753","13961037","13959415","3","Chr02","","similar to Histone H4",
"GRMZM2G016232","Z. mays","Sobic.003G056600","S. bicolor","many-to-many","5056574","5055817","13961037","13959415","3","Chr03","","similar to Histone H4",
"GRMZM2G016232","Z. mays","Sobic.003G057100","S. bicolor","many-to-many","5085751","5084771","13961037","13959415","3","Chr03","","similar to Histone H4",
"GRMZM2G016232","Z. mays","Sobic.003G057400","S. bicolor","many-to-many","5094419","5093126","13961037","13959415","3","Chr03","","similar to Histone H4",
"GRMZM2G016232","Z. mays","Sobic.003G347900","S. bicolor","many-to-many","66859734","66857850","13961037","13959415","3","Chr03","","similar to Histone H4",
"GRMZM2G016232","Z. mays","Sobic.006G191800","S. bicolor","many-to-many","55521335","55520176","13961037","13959415","3","Chr06","","similar to Histone H4",
"GRMZM2G016232","Z. mays","Sobic.009G167500","S. bicolor","many-to-many","52385953","52385109","13961037","13959415","3","Chr09","","similar to Histone H4",
"GRMZM2G016236","Z. mays","Sobic.002G030900","S. bicolor","one-to-one","2857148","2853353","237642179","237638693","2","Chr02","","similar to Os07g0143000 protein",
"GRMZM2G016241","Z. mays","Sobic.001G249500","S. bicolor","one-to-many","26932699","26931442","241432121","241430768","1","Chr01","","similar to Probable glutathione S-transferase BZ2",
"GRMZM2G016241","Z. mays","Sobic.001G249600","S. bicolor","one-to-many","26940876","26939289","241432121","241430768","1","Chr01","","similar to Probable glutathione S-transferase BZ2",
"GRMZM2G016254","Z. mays","Sobic.007G034700","S. bicolor","many-to-one","3043994","3041848","83111007","83108498","10","Chr07","","",
"GRMZM2G016259","Z. mays","Sobic.002G070400","S. bicolor","one-to-one","7091703","7091293","232831273","232830375","2","Chr02","","",
"GRMZM2G016275","Z. mays","Sobic.010G097400","S. bicolor","one-to-one","8774317","8772070","2487777","2485344","9","Chr10","","similar to RNase H domain-containing protein-like",
"GRMZM2G016290","Z. mays","Sobic.001G015100","S. bicolor","one-to-one","1342784","1340707","297832329","297830512","1","Chr01","","similar to Pirin, putative, expressed",
"GRMZM2G016312","Z. mays","Sobic.009G038000","S. bicolor","one-to-one","3610694","3609821","88540094","88539612","10","Chr09","","",
"GRMZM2G016323","Z. mays","Sobic.010G065800","S. bicolor","one-to-one","5176888","5169506","13180826","13169628","9","Chr10","","similar to Ubiquitin carboxyl-terminal hydrolase",
"GRMZM2G016330","Z. mays","Sobic.010G046300","S. bicolor","many-to-one","3618014","3614574","17870187","17866523","9","Chr10","","similar to Putative uncharacterized protein",
"GRMZM2G016338","Z. mays","Sobic.001G506500","S. bicolor","many-to-one","70265552","70264008","229214821","229213310","2","Chr01","","similar to Os03g0144500 protein",
"GRMZM2G016346","Z. mays","Sobic.009G038100","S. bicolor","one-to-one","3625539","3624688","88550718","88549996","10","Chr09","","weakly similar to Putative uncharacterized protein OJ1264_A04.8",
"GRMZM2G016370","Z. mays","Sobic.008G036900","S. bicolor","many-to-one","3476790","3474489","5390606","5388541","10","Chr08","","similar to Myb family transcription factor-like",
"GRMZM2G016382","Z. mays","Sobic.003G434800","S. bicolor","one-to-one","73650413","73645853","146823201","146818739","3","Chr03","","",
"GRMZM2G016434","Z. mays","Sobic.004G158900","S. bicolor","one-to-one","49818231","49815335","166361971","166359251","5","Chr04","","similar to Putative uncharacterized protein",
"GRMZM2G016435","Z. mays","Sobic.003G303100","S. bicolor","one-to-one","63397116","63395795","195462524","195461807","3","Chr03","","",
"GRMZM2G016439","Z. mays","Sobic.007G170900","S. bicolor","one-to-one","59370407","59366893","205266907","205263817","1","Chr07","","similar to Histidine-containing phosphotransfer protein",
"GRMZM2G016443","Z. mays","Sobic.001G483700","S. bicolor","one-to-one","68310061","68309000","16435965","16435264","1","Chr01","","similar to Putative uncharacterized protein",
"GRMZM2G016457","Z. mays","Sobic.008G090900","S. bicolor","one-to-one","28228935","28213590","106427976","106399923","3","Chr08","","similar to Expressed protein",
"GRMZM2G016462","Z. mays","Sobic.009G038200","S. bicolor","one-to-one","3635001","3634702","88566272","88565607","10","Chr09","","",
"GRMZM2G016480","Z. mays","Sobic.001G382700","S. bicolor","one-to-one","59858986","59853732","55087082","55080810","1","Chr01","","similar to Protein kinase domain containing protein, expressed",
"GRMZM2G016487","Z. mays","Sobic.006G144000","S. bicolor","one-to-one","51522413","51516483","130254355","130245239","10","Chr06","","weakly similar to OSIGBa0157K09-H0214G12.17 protein",
"GRMZM2G016503","Z. mays","Sobic.009G213300","S. bicolor","one-to-one","55896896","55893459","161846216","161833045","6","Chr09","","similar to Os05g0539500 protein",
"GRMZM2G016511","Z. mays","Sobic.001G483100","S. bicolor","one-to-one","68257896","68254885","16605847","16602780","1","Chr01","","similar to Proteasome subunit alpha type-6",
"GRMZM2G016521","Z. mays","Sobic.007G145700","S. bicolor","one-to-one","56275880","56274466","210036267","210035307","1","Chr07","","weakly similar to Putative uncharacterized protein",
"GRMZM2G016546","Z. mays","Sobic.001G088800","S. bicolor","one-to-one","6884977","6881875","276431002","276428498","1","Chr01","","similar to Expressed protein",
"GRMZM2G016558","Z. mays","Sobic.005G083800","S. bicolor","one-to-many","11387057","11382324","208770121","208767951","4","Chr05","","similar to Expressed protein",
"GRMZM2G016558","Z. mays","Sobic.005G084000","S. bicolor","one-to-many","11437469","11428393","208770121","208767951","4","Chr05","","",
"GRMZM2G016583","Z. mays","Sobic.001G028900","S. bicolor","many-to-many","2255597","2250306","27621352","27614715","4","Chr01","","",
"GRMZM2G016583","Z. mays","Sobic.009G245200","S. bicolor","many-to-many","58098243","58095347","27621352","27614715","4","Chr09","","weakly similar to Ulp1 protease family, C-terminal catalytic domain containing protein",
"GRMZM2G016586","Z. mays","Sobic.008G135100","S. bicolor","one-to-one","48949244","48948284","127002073","127000640","3","Chr08","","similar to Expressed protein",
"GRMZM2G016602","Z. mays","Sobic.001G158400","S. bicolor","one-to-one","12818129","12811507","252214106","252202771","1","Chr01","","",
"GRMZM2G016613","Z. mays","Sobic.001G198500","S. bicolor","many-to-one","17907871","17905311","224753549","224751260","1","Chr01","","",
"GRMZM2G016637","Z. mays","Sobic.009G028300","S. bicolor","one-to-one","2583023","2579348","25704825","25703379","6","Chr09","","similar to Os05g0128000 protein",
"GRMZM2G016649","Z. mays","Sobic.006G163600","S. bicolor","one-to-one","53060890","53055837","22418850","22414453","2","Chr06","","similar to H0115B09.8 protein",
"GRMZM2G016657","Z. mays","Sobic.003G427700","S. bicolor","one-to-many","73147925","73146597","157530072","157529051","8","Chr03","","similar to Putative uncharacterized protein",
"GRMZM2G016657","Z. mays","Sobic.003G427800","S. bicolor","one-to-many","73154843","73153480","157530072","157529051","8","Chr03","","similar to Germin-like protein",
"GRMZM2G016660","Z. mays","Sobic.002G186300","S. bicolor","one-to-one","57007739","56998603","101613994","101604053","7","Chr02","","similar to Putative uncharacterized protein",
"GRMZM2G016668","Z. mays","Sobic.003G444900","S. bicolor","one-to-one","74327302","74324766","144134374","144132090","3","Chr03","","similar to Receptor-like kinase Xa21-binding protein 3",
"GRMZM2G016677","Z. mays","Sobic.002G030200","S. bicolor","one-to-one","2823527","2821994","237622123","237620514","2","Chr02","","similar to 23 kDa polypeptide of photosystem II",
"GRMZM2G016705","Z. mays","Sobic.006G192800","S. bicolor","one-to-one","55578931","55575914","14540646","14537632","2","Chr06","","similar to OSJNBa0013K16.5 protein",
"GRMZM2G016738","Z. mays","Sobic.001G015000","S. bicolor","one-to-one","1339767","1336220","297837438","297835147","1","Chr01","","Predicted protein",
"GRMZM2G016744","Z. mays","Sobic.010G077700","S. bicolor","one-to-one","6433396","6431983","109143713","109142904","6","Chr10","","",
"GRMZM2G016749","Z. mays","Sobic.006G064100","S. bicolor","one-to-one","42307588","42303287","61264528","61260068","2","Chr06","","similar to Os04g0403600 protein",
"GRMZM2G016774","Z. mays","Sobic.001G014900","S. bicolor","one-to-one","1335518","1325749","297874947","297866361","1","Chr01","","",
"GRMZM2G016802","Z. mays","Sobic.003G409300","S. bicolor","one-to-one","71720696","71716717","160077226","160073966","8","Chr03","","similar to Putative uncharacterized protein",
"GRMZM2G016805","Z. mays","Sobic.007G187400","S. bicolor","one-to-one","60796092","60792502","193532950","193529418","4","Chr07","","similar to Putative uncharacterized protein",
"GRMZM2G016819","Z. mays","Sobic.006G167200","S. bicolor","one-to-one","53365939","53364722","134425385","134423759","10","Chr06","","similar to OSIGBa0101C23.10 protein",
"GRMZM2G016827","Z. mays","Sobic.003G428200","S. bicolor","one-to-one","73192896","73187274","157512832","157506261","8","Chr03","","similar to Putative uncharacterized protein",
"GRMZM2G016836","Z. mays","Sobic.002G249900","S. bicolor","one-to-one","63655775","63653064","133657708","133655727","7","Chr02","","weakly similar to Putative cinnamoyl-CoA reductase",
"GRMZM2G016844","Z. mays","Sobic.002G378700","S. bicolor","one-to-one","73468594","73464896","212564663","212562529","2","Chr02","","similar to Pentatricopeptide repeat protein-like",
"GRMZM2G016858","Z. mays","Sobic.004G002100","S. bicolor","one-to-one","184618","179409","241298421","241293316","4","Chr04","","similar to Os11g0206700 protein",
"GRMZM2G016866","Z. mays","Sobic.010G066400","S. bicolor","one-to-one","5270191","5267454","12891574","12889644","9","Chr10","","similar to Pentatricopeptide (PPR) repeat-containing protein-like",
"GRMZM2G016875","Z. mays","Sobic.001G168900","S. bicolor","one-to-one","14042398","14034816","255322179","255314153","1","Chr01","","similar to Putative eukaryotic translation initiation factor 2B, subunit 3",
"GRMZM2G016878","Z. mays","Sobic.006G175400","S. bicolor","one-to-one","53989542","53985377","40255206","40250912","5","Chr06","","similar to Kelch motif family protein, expressed",
"GRMZM2G016890","Z. mays","Sobic.008G079800","S. bicolor","many-to-many","13293251","13288579","34245973","34240659","10","Chr08","","similar to Dhurrinase",
"GRMZM2G016890","Z. mays","Sobic.008G080100","S. bicolor","many-to-many","13511363","13481876","34245973","34240659","10","Chr08","","similar to Dhurrinase",
"GRMZM2G016890","Z. mays","Sobic.008G080600","S. bicolor","many-to-many","13918301","13911676","34245973","34240659","10","Chr08","","similar to Dhurrinase",
"GRMZM2G016926","Z. mays","Sobic.006G049700","S. bicolor","one-to-one","36591746","36587356","107165520","107160048","10","Chr06","","similar to OSIGBa0135C09.6 protein",
"GRMZM2G016928","Z. mays","Sobic.004G045400","S. bicolor","many-to-many","3755970","3753805","73921281","73918711","2","Chr04","","similar to 60S ribosomal protein L37a-2",
"GRMZM2G016928","Z. mays","Sobic.006G047400","S. bicolor","many-to-many","32776303","32774173","73921281","73918711","2","Chr06","","similar to 60S ribosomal protein L37a-2",
"GRMZM2G016928","Z. mays","Sobic.009G227400","S. bicolor","many-to-many","56881659","56879602","73921281","73918711","2","Chr09","","similar to 60S ribosomal protein L37a-2",
"GRMZM2G016939","Z. mays","Sobic.006G167300","S. bicolor","one-to-one","53376918","53373424","134438537","134434838","10","Chr06","","similar to OSIGBa0101C23.11 protein",
"GRMZM2G016958","Z. mays","Sobic.002G093500","S. bicolor","one-to-one","9678474","9672939","25927080","25919396","7","Chr02","","similar to Putative IAA amidohydrolase",
"GRMZM2G017008","Z. mays","Sobic.008G127200","S. bicolor","one-to-one","47764476","47762638","146171214","146169831","1","Chr08","","similar to Expressed protein",
"GRMZM2G017011","Z. mays","Sobic.001G308600","S. bicolor","one-to-one","52268855","52267852","86507966","86506921","1","Chr01","","similar to Putative uncharacterized protein",
"GRMZM2G017016","Z. mays","Sobic.002G361400","S. bicolor","one-to-one","72274794","72269743","162606044","162600514","7","Chr02","","similar to Putative uncharacterized protein",
"GRMZM2G017022","Z. mays","Sobic.004G106200","S. bicolor","one-to-one","10082599","10079409","228427703","228425476","4","Chr04","","similar to Brassinosteroid LRR receptor kinase-like",
"GRMZM2G017031","Z. mays","Sobic.004G002000","S. bicolor","one-to-one","178138","177701","241268708","241267616","4","Chr04","","Predicted protein",
"GRMZM2G017044","Z. mays","Sobic.001G400200","S. bicolor","many-to-one","61379489","61376451","47337400","47335753","1","Chr01","","Predicted protein",
"GRMZM2G017047","Z. mays","Sobic.001G169100","S. bicolor","one-to-one","14047944","14045331","255378865","255376189","1","Chr01","","similar to Major Facilitator Superfamily protein, expressed",
"GRMZM2G017077","Z. mays","Sobic.003G387100","S. bicolor","one-to-one","69917627","69911425","168416865","168411704","3","Chr03","","similar to Probable membrane-associated 30 kDa protein, chloroplast precursor",
"GRMZM2G017080","Z. mays","Sobic.002G379800","S. bicolor","one-to-one","73571926","73564829","166592888","166587649","7","Chr02","","",
"GRMZM2G017081","Z. mays","Sobic.010G260800","S. bicolor","one-to-one","59531212","59525730","59840942","59835715","5","Chr10","","",
"GRMZM2G017086","Z. mays","Sobic.003G186700","S. bicolor","one-to-one","50561011","50553760","226720613","226711818","3","Chr03","","similar to Ubiquitin carboxyl-terminal hydrolase",
"GRMZM2G017087","Z. mays","Sobic.001G106200","S. bicolor","one-to-one","8179489","8171699","271415210","271407490","1","Chr01","","similar to Homeotic protein knotted-1",
"GRMZM2G017089","Z. mays","Sobic.006G017000","S. bicolor","one-to-one","2647778","2639939","254164418","254154487","1","Chr06","","similar to Os03g0339100 protein",
"GRMZM2G017103","Z. mays","Sobic.001G414300","S. bicolor","many-to-one","62419903","62419607","42781184","42780625","1","Chr01","","",
"GRMZM2G017113","Z. mays","Sobic.005G048800","S. bicolor","one-to-one","4690569","4686522","215185303","215180538","4","Chr05","","similar to Os11g0167200 protein",
"GRMZM2G017142","Z. mays","Sobic.009G056300","S. bicolor","one-to-one","5777380","5772444","125069152","125066160","8","Chr09","","similar to Putative uncharacterized protein",
"GRMZM2G017145","Z. mays","Sobic.002G385300","S. bicolor","one-to-one","73967979","73965010","167544289","167537499","7","Chr02","","similar to Amelogenin-like protein",
"GRMZM2G017159","Z. mays","Sobic.004G358500","S. bicolor","one-to-one","67834822","67832239","168591287","168589012","4","Chr04","","similar to PRLI-interacting factor A-like",
"GRMZM2G017164","Z. mays","Sobic.006G024400","S. bicolor","one-to-one","4096804","4094417","100245138","100242426","10","Chr06","","similar to H0512B01.12 protein",
"GRMZM2G017170","Z. mays","Sobic.008G139500","S. bicolor","one-to-one","49499622","49495772","156235981","156233140","1","Chr08","","similar to Amino acid transporter family protein, putative, expressed",
"GRMZM2G017186","Z. mays","Sobic.001G089000","S. bicolor","one-to-one","6900367","6894813","276395239","276389788","1","Chr01","","similar to Exhydrolase II",
"GRMZM2G017187","Z. mays","Sobic.006G089500","S. bicolor","one-to-one","46850696","46842932","48141220","48136356","2","Chr06","","similar to Auxin response factor 9",
"GRMZM2G017193","Z. mays","Sobic.003G286500","S. bicolor","one-to-one","61984013","61973832","155798447","155795371","8","Chr03","","similar to Os01g0732700 protein",
"GRMZM2G017197","Z. mays","Sobic.006G192600","S. bicolor","one-to-one","55572787","55570130","14549262","14545463","2","Chr06","","similar to OSJNBa0013K16.3 protein",
"GRMZM2G017237","Z. mays","Sobic.001G244900","S. bicolor","one-to-one","25587240","25582542","240442714","240438318","1","Chr01","","similar to Type I inositol-1,4,5-trisphosphate 5-phosphatase CVP2, putative, expressed",
"GRMZM2G017244","Z. mays","Sobic.010G085000","S. bicolor","one-to-one","7196352","7194205","7268133","7266420","9","Chr10","","",
"GRMZM2G017254","Z. mays","Sobic.001G483200","S. bicolor","one-to-one","68266346","68257291","16602611","16594624","1","Chr01","","",
"GRMZM2G017257","Z. mays","Sobic.010G085100","S. bicolor","one-to-one","7216525","7200091","7211060","7187390","9","Chr10","","similar to Similarity to kinesin heavy chain",
"GRMZM2G017268","Z. mays","Sobic.007G224800","S. bicolor","one-to-one","63997727","63995945","197251014","197249760","4","Chr07","","similar to Putative transcription factor Myb protein",
"GRMZM2G017269","Z. mays","Sobic.009G222500","S. bicolor","one-to-one","56533784","56530359","162890818","162887447","6","Chr09","","similar to Chromosome chr14 scaffold_21, whole genome shotgun sequence",
"GRMZM2G017271","Z. mays","Sobic.003G251400","S. bicolor","many-to-one","58987701","58987193","40874022","40873130","3","Chr03","","",
"GRMZM2G017285","Z. mays","Sobic.003G116800","S. bicolor","one-to-one","10550064","10547783","5300862","5296147","8","Chr03","","similar to Putative cinnamoyl-CoA reductase",
"GRMZM2G017305","Z. mays","Sobic.003G259400","S. bicolor","one-to-one","59763449","59757102","150799106","150792636","8","Chr03","","similar to LUE1 protein",
"GRMZM2G017319","Z. mays","Sobic.001G169200","S. bicolor","one-to-one","14054304","14051840","255385569","255383520","1","Chr01","","",
"GRMZM2G017321","Z. mays","Sobic.007G197500","S. bicolor","one-to-one","61667805","61666725","43179015","43178087","4","Chr07","","",
"GRMZM2G017324","Z. mays","Sobic.004G230300","S. bicolor","many-to-many","57319103","57306881","168588299","168583463","4","Chr04","","",
"GRMZM2G017324","Z. mays","Sobic.005G140700","S. bicolor","many-to-many","50217712","50205757","168588299","168583463","4","Chr05","","",
"GRMZM2G017324","Z. mays","Sobic.007G062400","S. bicolor","many-to-many","6532294","6521111","168588299","168583463","4","Chr07","","",
"GRMZM2G017324","Z. mays","Sobic.008G125300","S. bicolor","many-to-many","47465445","47450982","168588299","168583463","4","Chr08","","",
"GRMZM2G017324","Z. mays","Sobic.009G086600","S. bicolor","many-to-many","14688032","14676985","168588299","168583463","4","Chr09","","",
"GRMZM2G017324","Z. mays","Sobic.010G165700","S. bicolor","many-to-many","48835007","48824304","168588299","168583463","4","Chr10","","",
"GRMZM2G017334","Z. mays","Sobic.002G139600","S. bicolor","one-to-one","22106223","22102368","164965469","164961363","2","Chr02","","similar to Putative uncharacterized protein B1331F11.20",
"GRMZM2G017349","Z. mays","Sobic.010G051800","S. bicolor","one-to-one","4054962","4051181","16496592","16492976","9","Chr10","","similar to Basic helix-loop-helix protein SPATULA-like",
"GRMZM2G017355","Z. mays","Sobic.004G235700","S. bicolor","one-to-one","57663088","57661278","207948448","207946920","5","Chr04","","Predicted protein",
"GRMZM2G017365","Z. mays","Sobic.004G358600","S. bicolor","one-to-one","67838332","67835706","168580262","168574700","4","Chr04","","similar to Putative uncharacterized protein",
"GRMZM2G017368","Z. mays","Sobic.002G380200","S. bicolor","one-to-one","73602889","73595589","166609950","166605664","7","Chr02","","similar to Putative uncharacterized protein",
"GRMZM2G017382","Z. mays","Sobic.002G111500","S. bicolor","one-to-one","13572951","13570560","157035388","157033595","2","Chr02","","similar to Chromosome chr17 scaffold_16, whole genome shotgun sequence",
"GRMZM2G017386","Z. mays","Sobic.003G230000","S. bicolor","one-to-one","56988377","56983872","145568881","145564538","8","Chr03","","similar to Os01g0631700 protein",
"GRMZM2G017388","Z. mays","Sobic.001G240300","S. bicolor","one-to-one","24663939","24661833","238626392","238623894","1","Chr01","","similar to Sodium/calcium exchanger protein, expressed",
"GRMZM2G017400","Z. mays","Sobic.001G398300","S. bicolor","one-to-one","61230243","61228058","47999859","47998386","1","Chr01","","similar to Expressed protein",
"GRMZM2G017404","Z. mays","Sobic.003G415100","S. bicolor","one-to-one","72180240","72174106","155661965","155656712","3","Chr03","","similar to Putative uncharacterized protein P0506E04.35",
"GRMZM2G017405","Z. mays","Sobic.008G152500","S. bicolor","one-to-one","51091885","51087623","166981533","166945814","1","Chr08","","similar to Putative uncharacterized protein",
"GRMZM2G017409","Z. mays","Sobic.002G366900","S. bicolor","one-to-one","72630540","72625709","163821972","163818460","7","Chr02","","similar to Putative receptor-like protein kinase",
"GRMZM2G017411","Z. mays","Sobic.005G163600","S. bicolor","one-to-one","54311417","54303895","201659299","201655646","4","Chr05","","similar to DnaJ domain containing protein, expressed",
"GRMZM2G017414","Z. mays","Sobic.006G182000","S. bicolor","one-to-one","54622257","54617067","137195761","137189044","10","Chr06","","Predicted protein",
"GRMZM2G017416","Z. mays","Sobic.006G077600","S. bicolor","many-to-many","45261617","45258694","3292534","3291593","5","Chr06","","similar to Phosphatidylinositol N-acetylglucosaminyltransferase subunit, putative",
"GRMZM2G017416","Z. mays","Sobic.006G268000","S. bicolor","many-to-many","61040693","61038653","3292534","3291593","5","Chr06","","similar to Phosphatidylinositol N-acetylglucosaminyltransferase subunit, putative",
"GRMZM2G017419","Z. mays","Sobic.009G043000","S. bicolor","one-to-one","4133676","4132069","89938072","89936005","10","Chr09","","similar to Putative uncharacterized protein",
"GRMZM2G017421","Z. mays","Sobic.010G053800","S. bicolor","one-to-one","4231917","4222018","80806103","80796527","6","Chr10","","",
"GRMZM2G017429","Z. mays","Sobic.004G235600","S. bicolor","one-to-one","57660542","57658713","207950416","207948915","5","Chr04","","similar to Mitochondrial transcription termination factor-like",
"GRMZM2G017460","Z. mays","Sobic.001G370500","S. bicolor","one-to-one","58712896","58710239","129110463","129107776","9","Chr01","","similar to Expressed protein",
"GRMZM2G017486","Z. mays","Sobic.008G152400","S. bicolor","one-to-one","51087643","51084712","166945377","166943260","1","Chr08","","",
"GRMZM2G017520","Z. mays","Sobic.003G136600","S. bicolor","one-to-one","13049916","13047451","48497275","48494886","3","Chr03","","similar to MYB18 protein",
"GRMZM2G017528","Z. mays","Sobic.002G138300","S. bicolor","one-to-one","21417341","21415959","61227001","61225087","7","Chr02","","similar to Os01g0805100 protein",
"GRMZM2G017536","Z. mays","Sobic.001G398400","S. bicolor","one-to-one","61237341","61232620","47998056","47993857","1","Chr01","","similar to Expressed protein",
"GRMZM2G017537","Z. mays","Sobic.010G085200","S. bicolor","one-to-one","7243146","7239062","7182643","7177685","9","Chr10","","similar to Putative RNA polymerase transcriptional regulation mediator",
